nome,tipo,latitude,longitude
Sem nome,UBS/Médico,-15.7377202,-47.9199635
Sem nome,UBS/Médico,-15.7384869,-47.9274627
Emergência do Hospital Regional de Taguatinga - HRT,Hospital,-15.8229272,-48.0687961
Faculdades Integradas ICESP,Escola,-15.8536894,-48.0320303
Centro Educacional Sigma Águas Claras,Escola,-15.8384039,-48.0192201
Faculdade Darwin,Universidade,-15.8648046,-48.0244665
FACITEC,Escola,-15.8699986,-48.0327405
Escola Aplicação,Escola,-15.7876428,-47.9367737
Santa Lucia Prontonorte,Hospital,-15.7356441,-47.8955006
Sabin,Clínica,-15.8210599,-47.9811224
Hospital Municipal de Santo Antônio do Descoberto,Hospital,-15.9476971,-48.2664698
Creche Municipal Tia Diza,Escola,-15.9522097,-48.2601289
Dom Orione,Escola,-15.855864,-47.8773516
Hospital SARAH,Hospital,-15.799489,-47.890839
Bravo,Escola,-15.7638025,-47.893711
UNIP Pólo 7,Universidade,-15.7636432,-47.8919226
Laboratório Sabin,Clínica,-15.7215434,-47.8817076
CNA,Escola,-16.0257232,-48.060501
Centro Radiológico do Gama,Clínica,-16.0250569,-48.0709833
Centro de Saúde 2 do gama,Hospital,-16.036829,-48.0610962
Centro de Saúde 4 do Gama,Clínica,-16.0260957,-48.0568531
Centro de Saúde 6 do Gama,Hospital,-16.0115414,-48.0739784
Centro de Saúde 8 do Gama,Hospital,-16.0138187,-48.0675316
Colégio Brasilia,Escola,-16.0192947,-48.0618019
Colégio Centro Educacional da Criança,Escola,-16.0264664,-48.0545654
Colégio JK,Escola,-16.0174522,-48.0616798
Colégio Objetivo,Escola,-16.0185394,-48.0561333
Colégio Vitória,Escola,-16.0154476,-48.0615349
Cooplem Idiomas,Escola,-16.0201188,-48.062448
Cursos Impacto,Escola,-16.0223999,-48.0733223
Cursos de Brigadista,Escola,-16.029122,-48.0647815
Escola Adventista,Escola,-16.0145671,-48.0688129
Escola Brincando e Construindo o Futuro,Escola,-16.0297966,-48.0680275
Elite Rede de Ensino - Gama,Escola,-16.0160103,-48.0589561
Escola Centro Recreativo Aprender,Escola,-16.0141093,-48.0743533
Escola Clube da Criança,Escola,-16.0219345,-48.0734978
Escola Compact,Escola,-16.015049,-48.0599442
Centro Educacional Ebenézer,Escola,-16.0320435,-48.065854
Escola INEB,Escola,-16.0129344,-48.0655773
Escola Missão Criança,Escola,-16.0110815,-48.0790189
Escola Presbiteriana,Escola,-16.0210705,-48.0617714
Escola de musica Dó Ré Mi,Escola,-16.0252209,-48.0732651
Escola e Creche do Divino Espírito Santo,Escola,-16.0061474,-48.0819664
Escolinha e Creche - Barquinho de Papel,Escola,-16.0287132,-48.0673103
UNICEPLAC,Escola,-16.0026512,-48.0514603
Faculdade Fortium,Universidade,-16.022089,-48.0607101
Gran Cursos,Escola,-16.0116135,-48.0598231
Jardim de Infância Beija Flor,Escola,-16.0195351,-48.0570068
New Tec Informática,Escola,-16.0252844,-48.0656456
Planeta da Criança,Escola,-16.0190754,-48.062149
Colégio Nossa Senhora Aparecida,Escola,-16.004051,-47.9885286
Colégio Santa Maria,Escola,-16.0045744,-47.9888807
Escola Classe 203 Santa Maria,Escola,-16.0383873,-48.0335984
